cph,extra_column,easting,northing,holding_type,herd_size,whatever
25/591/6144,118.1044612,242030,94955,DNNZD,9142,2805
56/799/9396,271.5180795,586953,594509,DRHXL,9156,1239
86/302/7610,264.4765923,104603,991806,TCWHM,9166,8306
10/673/1598,326.2886585,63541,357405,ZPYMM,9167,8742
59/643/9135,200.076152,878775,196158,JKLZY,9176,191
85/721/4530,102.1870324,607256,899952,NBZYQ,9205,7981
94/651/9064,152.8239747,104882,212860,VPPOP,9223,2077
43/682/4082,53.13469785,49303,734739,NBKFC,9269,5827
45/564/2870,28.12520711,158536,530069,XGILZ,9288,7539
26/893/7351,174.0175032,286242,978909,CRMPQ,9293,5366
95/216/1100,232.6988555,718963,564350,NBUZZ,9294,4771
61/886/4001,161.5195937,747547,671467,SMIMX,9301,256
26/145/5364,90.59737026,772346,553712,YBPCO,9316,3398
91/427/3924,60.75840675,296896,247500,LSUUK,9327,7629
66/454/9439,63.26877323,761704,526009,XXKVS,9336,9365
92/483/6260,494.9578551,407383,655462,BAKLD,9337,8024
57/306/3786,225.9294692,180249,313236,QQXMS,9369,7882
85/208/5457,132.3391272,516315,767544,GZVFI,9419,9938
41/434/4415,85.0346812,359455,319849,WFAZS,9435,4308
28/945/6017,199.5746066,994521,916769,IWWGB,9463,9027
56/959/5195,3.167679818,250606,162050,HKSWE,9471,4078
23/269/9756,114.9409907,234160,549176,CQAQE,9492,2503
28/693/6939,449.1992091,388094,925062,BKHVV,9524,9992
76/193/7181,188.1893824,240782,59222,ZXSLZ,9531,9794
63/931/2247,370.7135977,313135,553038,DQZOV,9543,3279
70/182/3852,159.4780966,717292,566442,NXXCB,9547,5236
53/584/8762,286.8135131,561231,743168,GSZUC,9564,7944
47/319/4630,158.517919,123764,901081,HWVGS,9592,3274
25/923/7192,386.8908086,113334,912536,RNLAZ,9619,8740
37/795/5662,352.323734,656256,780086,RCEVN,9640,6093
79/227/6154,360.263584,936521,145627,PIEUQ,9653,2359
65/492/6745,489.4416645,925931,423645,WCMJK,9659,8960
11/981/8014,52.56141452,823028,684447,DTKBJ,9719,6558
87/465/5150,194.2956865,447993,283142,EPQPO,9724,856
81/124/5621,411.4442242,972242,417784,MLMQP,9737,7382
48/384/9883,24.81213145,342256,53682,JPHBJ,9744,9690
29/530/4214,302.0628353,805905,953183,SWHKN,9754,7524
70/728/6942,483.0066901,785727,558935,AFADC,9781,8973
86/269/2273,72.82345763,214265,308632,AHKEB,9816,9511
87/536/8399,206.9677628,597924,500692,JDBHS,9852,937
77/170/5420,455.3335121,95657,267381,DCIVG,9858,4323
40/987/6833,227.8805234,564890,770693,JMXUN,9877,4671
43/431/2597,445.8915496,705442,57928,SFPUH,9907,9886
69/196/5890,414.0306014,465433,726220,MJQYM,9913,5316
47/978/7791,467.6900783,563242,34148,ANAJL,9919,6118
88/793/4165,338.443985,980802,858947,TUBVJ,9927,8469
96/998/8445,360.0060894,305983,830974,WQDZG,9940,6346
23/365/6095,62.42359703,565402,412153,ZLFMR,9947,7641
